Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0231.a3.txt,2317.54,1075.54,691.42,473.75,1,0,0
0232.a3.txt,1788.82,1304.35,782.61,447.2,1,0,1
0234.a3.txt,1810.92,1091.88,585.89,412.78,2,0,4
0235.a3.txt,1698.35,1166.03,494.3,367.55,1,0,1
0236.a3.txt,1842.5,1248.14,579.49,668.65,3,0,0
0237.a3.txt,2273.31,970.63,855.68,357.6,0,0,1
0238.a3.txt,1831.87,1317.44,589.71,301.13,0,0,0
1003.a3.txt,2235.87,1171.17,737.1,417.69,7,0,1
1005.a3.txt,2029.7,1138.61,693.07,482.67,0,0,0
1006.a3.txt,1854.3,1225.17,783.66,618.1,4,1,4
1007.a3.txt,2032.42,1172.07,723.19,610.97,0,0,0
1008.a3.txt,1840.19,1016.95,593.22,617.43,1,0,2
1009.a3.txt,1942.86,1185.71,785.71,357.14,0,0,1
1012.a3.txt,2103.86,1185.09,732.36,452.73,1,0,1
1013.a3.txt,1923.57,1082.8,598.73,394.9,1,0,1
1014.a3.txt,2187.94,1079.94,631.14,336.61,2,0,1
1017.a3.txt,1965.91,1284.09,738.64,579.55,0,0,0
1018.a3.txt,1904.13,1358.19,679.09,505.99,0,0,0
1020.a3.txt,2009.66,1130.43,618.36,579.71,1,0,0
1021.a3.txt,1767.37,1299.09,589.12,438.07,1,0,2
1022.a3.txt,2220.71,1267.03,694.82,381.47,1,0,1
1023.a3.txt,1781.86,1015.12,680.35,853.13,3,1,0
1032.a3.txt,1541.18,1305.88,788.24,682.35,0,0,0
1034.a3.txt,2063.71,1094.18,637.12,318.56,1,0,1
1036.a3.txt,2075.0,975.0,725.0,475.0,1,0,0
1041.a3.txt,1762.59,1247.0,635.49,395.68,9,0,1
1043.a3.txt,1818.18,1054.55,703.03,642.42,5,0,2
1048.a3.txt,2367.21,1200.92,542.73,531.18,0,0,0
1049.a3.txt,1782.05,1307.69,679.49,576.92,0,0,0
1050.a3.txt,2210.66,1118.34,611.18,455.14,1,0,0
1052.a3.txt,2251.97,1133.86,629.92,346.46,1,0,0
1055.a3.txt,1764.71,1217.51,711.35,588.24,2,0,2
1057.a3.txt,1741.57,1168.54,685.39,516.85,1,0,1
1058.a3.txt,2451.76,1135.07,567.54,488.08,1,0,2
1060.a3.txt,1876.51,1125.91,726.39,520.58,0,0,1
1061.a3.txt,1865.14,1119.08,573.89,459.11,0,0,0
1064.a3.txt,2220.83,1204.52,664.99,526.98,0,0,0
1065.a3.txt,1949.81,1119.69,675.68,559.85,0,0,2
1066.a3.txt,2060.61,1212.12,618.18,509.09,0,0,1
1067.a3.txt,1612.43,1139.05,813.61,384.62,5,0,0
1068.a3.txt,1927.01,1284.67,627.74,452.55,0,1,0
1069.a3.txt,1905.86,826.64,631.46,401.84,4,0,1
1070.a3.txt,2182.81,1309.69,641.2,463.85,1,0,1
1072.a3.txt,2181.43,1004.32,755.94,507.56,0,0,0
1074.a3.txt,1937.35,1160.09,696.06,452.44,0,0,0
1077.a3.txt,2387.86,1042.22,817.94,461.74,1,1,1
1081.a3.txt,1651.13,878.83,798.93,532.62,8,0,1
1088.a3.txt,2004.29,1221.86,632.37,439.44,2,1,0
1090.a3.txt,1818.18,1100.48,586.12,442.58,9,0,1
1094.a3.txt,1870.32,1296.76,610.97,486.28,1,0,0
1095.a3.txt,1997.58,1101.69,569.01,399.52,15,0,3
1097.a3.txt,2342.97,1146.56,707.88,388.83,1,1,1
1098.a3.txt,1722.77,1178.22,415.84,504.95,5,0,4
1099.a3.txt,2239.44,1014.08,704.23,366.2,1,0,0
1100.a3.txt,2207.96,1052.63,757.38,436.46,0,0,0
1102.a3.txt,2072.41,1098.63,536.83,574.28,2,0,0
1103.a3.txt,1459.93,1064.76,647.64,658.62,5,0,3
